,Linear,Geometric,Tree-Based,NeuralNetwork-Based
BNTCSTIM,0.0,0.0036342183503761346,0.014009664554742856,0.12677176317405248
ST106CV,0.0,0.02816262557310488,0.04171552994648998,0.08273547712337716
ST105CV,0.0,0.024879059341136364,0.01427857077027598,0.10871544739381026
ST18SV,0.0,0.025701115908488673,0.019571319577333088,0.1032085379420811
ST90CV,0.0,0.029401473861155884,0.016217896156441886,0.10267064979551327
ST103TS,0.0,0.027445233228930666,0.017086529550071266,0.10358328665077662
ST36SA,0.0,0.03078518959841813,0.011701346852333377,0.10502185826284387
ST99CV,0.0,0.026050442050061007,0.014611122151268918,0.10662009088256877
ST114TS,0.0,0.023780699894788322,0.01468481045932684,0.10832887229013231
ST109CV,0.0,0.024995352606229513,0.01678909124302865,0.10542993587534823
ST14TA,0.0,0.02558521160158804,0.01448658812495043,0.10670504587922854
ST57TA,0.0,0.032821594900123395,0.024256679866067117,0.09164917285516917
ST110TS,0.0,0.02540647173911274,0.030160870192799085,0.09267310411703417
ST43TS,0.0,0.023909900451322262,0.012062840116968617,0.10803177840164963
ST116SA,0.0,0.0261881371144962,0.03273100800808742,0.08808444628725046
ST57CV,0.0,0.024906287248740715,0.012839829534956656,0.1060632764078033
ST3SV,0.0,0.022132898361142735,0.017479923171890593,0.10448961846547496
ST118SA,0.0,0.02508863151154229,0.02883148281399529,0.09210823940184702
ST6SV,0.0,0.019483184499929185,0.014404441396774569,0.10903631938156563
BNTSPONT,0.0012183469266886945,0.039046826332699805,0.012177466302999262,0.0929506006585247
ST55TS,0.0,0.017937605836478944,0.02553719166725674,0.10020705461609292
ST128SV,0.0,0.00863909185985978,0.013045079362593378,0.11785916958601461
ST111TA,0.0,0.040194234335121114,0.016631429703574042,0.08727460164275444
ST107SA,0.0,0.028444592519862207,0.015350344756170337,0.09819780889773932
BCPALPIT,0.000693973464178873,0.02968406848934136,0.009953020311241834,0.10068631367161092
ST54TA,0.0,0.014990407313572983,0.03756871494020377,0.08977368953606812
ST104SA,0.0,0.016154409669945344,0.013309911767612525,0.10921009611602503
ST113SA,0.00042177246854995995,0.031074841307680116,0.010781301072275365,0.09764746844188159
ST62CV,0.0,0.01859598223421371,0.030290108907895952,0.09190773208687553
